UPC,Store,price_ship_sum,cond,URL
rand?0712392923750,rand?Elixir?16052,18.4,New,https://www.ebay.co.uk/itm/Elixir-Nanoweb-Phosphor-Bronze-12-53-Light-16052/174291056418?epid=20031291970&hash=item28948e7722:g:4UUAAOSw4RZex6kX
ARG?Does Not Apply,ARG?Bush?No MPN: (is it a bug).,63.94,New,https://www.ebay.co.uk/itm/Bush-Upright-Bagless-Vacuum-Cleaner-/362889199629
ARG?5060060223868,ARG?GTECH?Does Not Apply,133.94,New,https://www.ebay.co.uk/itm/Gtech-HyLite-Compact-Multi-Floor-1-5kg-Cordless-Vacuum-Cleaner-14-4v-/352695909120
ARG?Does Not Apply,ARG?Cookworks?Does Not Apply,23.94,New,https://www.ebay.co.uk/itm/Cookworks-600W-Hand-Blender-Stainless-Steel-/332742381054
ARG?5012512165127,ARG?Vax?CWCPV011,103.94,New,https://www.ebay.co.uk/itm/Vax-Compact-Power-CWCPV011-Carpet-Cleaner-/362632635705
ARG?Does Not Apply,ARG?CookWorks?Does Not Apply,19.94,New,https://www.ebay.co.uk/itm/Cookworks-1-5L-500W-Rice-Cooker-Black-/362034318264
ARG?Does Not Apply,ARG?Cookworks?8353481,53.94,New,https://www.ebay.co.uk/itm/Cookworks-P70B-700W-17L-Standard-Microwave-Red-/332706255005
ARG?3016661154980,ARG?Mouli?Does Not Apply,23.94,New,https://www.ebay.co.uk/itm/Moulinex-Turbo-Button-2-Speeds-1-75L-Jug-Blender-/352797309503
ARG?3045386340842,ARG?Tefal?Does Not Apply,38.94,New,https://www.ebay.co.uk/itm/Tefal-FF123841-1-8L-1600W-Maxi-Fry-Fryer-Black-/351022363844
ARG?Does Not Apply,ARG?CookWorks?Does Not Apply,48.94,New,https://www.ebay.co.uk/itm/Cookworks-700W-17L-Standard-Microwave-White-/362693826760
ARG?Does Not Apply,ARG?Bush?No MPN: (is it a bug).,48.94,New,https://www.ebay.co.uk/itm/Bush-Bagged-Cylinder-Vacuum-Cleaner-/352942148688
ARG?4242002795287,ARG?Bosch?TAS4502GB,53.94,New,https://www.ebay.co.uk/itm/Tassimo-Bosch-T45-Joy-Pod-Coffee-Machine-1-4L-Black-/332385488757
